"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"772",93,"teasing","206","204","0.5",NA,"M","M","child",5,"child",9,"(3,6]","(6,9]","Younger","teasing_0.5","teasing_0.5",49,4,38,0,0,-0.135496870812659,1.73067742206873
"773",93,"teasing","204","206","0.5",NA,"M","M","child",9,"child",5,"(6,9]","(3,6]","Older","teasing_0.5","teasing_0.5",49,35,5,0,0,1.67112807335612,0.0173671613856132
"774",94,"leading","484","483","0.5",NA,"F","M","child",3,"child",5,"(0,3]","(3,6]","Younger","leading","leading_0.5",16,46,53,1,0,-1.03880934289705,0.0173671613856132
"775",94,"following","483","484","0.0",NA,"M","F","child",5,"child",3,"(3,6]","(0,3]","Older","following_0.0","following_0.0",7,48,52,0,1,-0.135496870812659,-0.839287968955946
"776",96,"comforting","32","528","1.0","many times","F","F","child",6,"child",0,"(3,6]",NA,"Older","comforting","comforting_1.0",2,67,136,1,1,0.316159365229537,-2.12427066446828
"777",96,"ownership assertion","34","32","1.0",NA,"F","F","child",3,"child",6,"(0,3]","(3,6]","Younger","ownership assertion","ownership assertion_1.0",22,71,73,1,1,-1.03880934289705,0.445694726556393
"778",96,"support opinion","7","34","0.5",NA,"M","F","child",3,"child",3,"(0,3]","(0,3]","Same","support opinion","support opinion_0.5",44,88,79,0,1,-1.03880934289705,-0.839287968955946
"779",96,"ownership acknowledgement","32","34","0.0",NA,"F","F","child",6,"child",3,"(3,6]","(0,3]","Older","ownership acknowledgement_0.0","ownership acknowledgement_0.0",21,67,79,1,1,0.316159365229537,-0.839287968955946
"780",96,"physical aggression","8","528","0.5",NA,"M","F","child",0,"child",0,NA,NA,"Same","Z","physical aggression_0.5",52,130,136,0,1,-2.39377805102364,-2.12427066446828
"781",96,"comforting","32","528","0.5",NA,"F","F","child",6,"child",0,"(3,6]",NA,"Older","comforting","comforting_0.5",2,67,136,1,1,0.316159365229537,-2.12427066446828
"782",96,"scolding","115","8","1.0","going to get hurt","F","M","child",5,"child",0,"(3,6]",NA,"Older","scolding","scolding_1.0",38,70,131,1,0,-0.135496870812659,-2.12427066446828
"783",97,"taking","103","100","0.5",NA,"F","M","child",1,"child",3,"(0,3]","(0,3]","Younger","taking","taking_0.5",46,76,85,1,0,-1.94212181498144,-0.839287968955946
