,mean,sd,2.50%,97.50%,n_eff,Rhat4,combined,
bA[9],-0.129772362,0.169508549,-0.468604,0.2005084,3280.100146,1.000203625,-0.13 (0.17),0
bA[10],0.226718837,0.141541464,-0.053933015,0.50257235,2419.39386,1.000092087,0.23 (0.14),0
bA[11],0.51265754,0.132561105,0.250587575,0.76773325,2196.180486,1.000134983,0.51 (0.13),1
bA[12],0.100983469,0.147360617,-0.18749235,0.38776645,2500.662279,1.000383527,0.1 (0.15),0
bA[13],0.44209487,0.167570974,0.12233245,0.77419805,3291.994503,1.000126654,0.44 (0.17),1
bA[14],0.184683266,0.143664745,-0.096560967,0.462943025,2434.336747,1.000144366,0.18 (0.14),0
bA[15],0.050028139,0.154878785,-0.259164575,0.35323515,2749.12329,1.000280124,0.05 (0.15),0
bA[16],0.285766569,0.138329074,0.013510565,0.558638925,2375.562837,1.000224664,0.29 (0.14),1
bA[17],0.48080606,0.130254361,0.22349935,0.7347927,2044.884514,1.000172376,0.48 (0.13),1
bA[18],0.415467051,0.152373784,0.111286825,0.712322125,2718.149666,1.0002273,0.42 (0.15),1
bB[1],-1.309044282,0.264113974,-1.84365275,-0.804043775,6003.74856,1.000225114,-1.31 (0.26),1
bB[2],-0.420177828,0.128378263,-0.673863175,-0.174705625,2049.830157,1.002090858,-0.42 (0.13),1
bB[3],-0.116745052,0.140388482,-0.399462575,0.159572125,2318.590134,1.001810517,-0.12 (0.14),0
bB[4],-0.124622351,0.12165562,-0.3705078,0.108586025,1779.151624,1.002071544,-0.12 (0.12),0
bB[5],0.037830842,0.217447696,-0.388256825,0.463984725,4906.124816,1.000331112,0.04 (0.22),0
bB[6],-0.365718155,0.131645578,-0.6284218,-0.112264325,2104.102465,1.001230974,-0.37 (0.13),1
bB[7],0.332941176,0.165304384,0.008182331,0.655803025,3058.672904,1.0012192,0.33 (0.17),1
bB[8],0.22914506,0.306395426,-0.37947885,0.828771525,9488.76591,0.999982568,0.23 (0.31),0
bB[9],0.459885215,0.175545354,0.113054875,0.801098975,3161.472593,1.00108207,0.46 (0.18),1
bB[10],0.036421026,0.143197517,-0.243977225,0.314529775,2435.948464,1.001451039,0.04 (0.14),0
bB[11],-0.035248258,0.129491239,-0.292606275,0.218195275,2067.742452,1.001666197,-0.04 (0.13),0
bB[12],0.067484942,0.151551704,-0.23479995,0.363003225,2607.06445,1.001470809,0.07 (0.15),0
bB[13],0.360255301,0.182004338,0.008708289,0.7212913,3680.420991,1.00087149,0.36 (0.18),1
bB[14],-0.059746768,0.144601994,-0.3481099,0.22624195,2561.212967,1.001760306,-0.06 (0.14),0
bB[15],0.115829092,0.148197271,-0.17555015,0.409074375,2609.353181,1.001518712,0.12 (0.15),0
bB[16],-0.279092254,0.137689997,-0.55106745,-0.012895095,2281.553772,1.002231806,-0.28 (0.14),1
bB[17],-0.062747892,0.127132368,-0.317659775,0.184840375,1958.415406,1.002139126,-0.06 (0.13),0
bB[18],0.037517818,0.144235728,-0.252713225,0.316837525,2470.592878,1.001539014,0.04 (0.14),0
bI[1],0.40367643,0.318751505,-0.217827025,1.03168225,5512.628582,1.000691752,0.4 (0.32),0
bI[2],-0.091220635,0.193569586,-0.461781975,0.287794125,2375.960244,1.001234383,-0.09 (0.19),0
bI[3],0.371491146,0.216075669,-0.05761516,0.79543795,2555.441596,1.001070142,0.37 (0.22),0
bI[4],0.225056579,0.182520134,-0.127080325,0.589779275,2125.951213,1.001724626,0.23 (0.18),0
bI[5],1.457275878,0.336134024,0.7930742,2.12452525,5887.417272,1.001079629,1.46 (0.34),1
bI[6],-0.355128634,0.210394835,-0.767725625,0.059908713,2661.49768,1.001071621,-0.36 (0.21),0
bI[7],0.14052011,0.236393442,-0.328127075,0.613013975,3235.948762,1.001003203,0.14 (0.24),0
bI[8],-1.418392396,0.674061064,-2.7764505,-0.11098375,12824.03256,0.999881602,-1.42 (0.67),1
bI[9],-0.146993984,0.272924214,-0.690503825,0.379682925,3870.51985,1.00048281,-0.15 (0.27),0
bI[10],-0.046473822,0.217964053,-0.471586725,0.377083575,2799.937457,1.001018869,-0.05 (0.22),0
bI[11],0.534211634,0.193936561,0.1521533,0.914877275,2297.62112,1.001596942,0.53 (0.19),1
bI[12],0.306489035,0.223427076,-0.133169025,0.7410612,2504.958408,1.001396643,0.31 (0.22),0
bI[13],0.152032061,0.250810939,-0.33699865,0.6413109,3444.672548,1.00087891,0.15 (0.25),0
bI[14],-0.101403688,0.223235436,-0.544417125,0.33322065,2928.986018,1.001099515,-0.1 (0.22),0
bI[15],0.73725629,0.232158404,0.280033325,1.19030875,2825.253647,1.001064745,0.74 (0.23),1
bI[16],-0.448601692,0.220162287,-0.87837485,-0.015919138,2908.312164,1.000977384,-0.45 (0.22),1
bI[17],-0.10098605,0.194697534,-0.48357475,0.276125025,2326.957757,1.001639446,-0.1 (0.19),0
bI[18],-0.700063667,0.252641201,-1.20399575,-0.211985325,3669.099828,1.001112442,-0.7 (0.25),1
bR[1],-0.659456202,0.496574214,-1.64824775,0.31028285,9096.602859,1.00013883,-0.66 (0.5),0
bR[2],0.271907357,0.191363712,-0.102017875,0.643993975,2251.650993,1.001201379,0.27 (0.19),0
bR[3],0.29488382,0.208404969,-0.11428745,0.700603675,2594.554963,1.00234338,0.29 (0.21),0
bR[4],0.300454938,0.179435571,-0.048230105,0.649821525,2027.222833,1.00255505,0.3 (0.18),0
bR[5],-0.080679302,0.314869118,-0.700085775,0.5376281,5651.703869,1.000587095,-0.08 (0.31),0
bR[6],0.008881483,0.202811379,-0.390005575,0.400391275,2567.931412,1.0016792,0.01 (0.2),0
bR[7],0.48769457,0.244270235,0.005060133,0.962679475,3344.576824,1.001335552,0.49 (0.24),1
bR[8],0.596374086,0.445091292,-0.277751025,1.45789025,9581.730491,1.000243101,0.6 (0.45),0
bR[9],0.434883558,0.261296579,-0.076122067,0.941732775,3824.88187,1.000736581,0.43 (0.26),0
bR[10],0.344966216,0.212832202,-0.070596723,0.756733675,2760.564035,1.001487914,0.34 (0.21),0
bR[11],0.190868541,0.191718352,-0.1831337,0.564248775,2225.671107,1.001787982,0.19 (0.19),0
bR[12],0.43908246,0.223448172,-0.004343096,0.877351675,2980.919109,1.001410268,0.44 (0.22),0
bR[13],0.629437926,0.269579013,0.10447005,1.15667275,3542.231811,1.00181749,0.63 (0.27),1
bR[14],0.282381338,0.214772227,-0.140309775,0.702329475,2701.492534,1.001836227,0.28 (0.21),0
bR[15],-0.071490607,0.220983218,-0.50433885,0.365129375,2862.020783,1.001593748,-0.07 (0.22),0
bR[16],0.429610747,0.20554922,0.030405958,0.830197975,2571.614395,1.002341286,0.43 (0.21),1
bR[17],0.333308672,0.18964721,-0.036637865,0.699358375,2250.460706,1.002200069,0.33 (0.19),0
bR[18],0.289011052,0.223620681,-0.13954605,0.722821025,2979.381738,1.001630053,0.29 (0.22),0
bAI[1],0.493966867,0.300619489,-0.101702275,1.082841,4763.200336,1.000840486,0.49 (0.3),0
bAI[2],0.205913145,0.182325035,-0.1547749,0.563067325,2150.969007,1.000532442,0.21 (0.18),0
bAI[3],0.20120794,0.199347264,-0.186598025,0.5948105,2403.181722,1.000488137,0.2 (0.2),0
bAI[4],0.220500509,0.169724714,-0.11368305,0.5512711,1872.775261,1.000837392,0.22 (0.17),0
bAI[5],0.25755923,0.324263407,-0.38712565,0.887692175,5736.037082,0.999924376,0.26 (0.32),0
bAI[6],0.093586836,0.19344417,-0.28952535,0.4678665,2371.602397,1.000746749,0.09 (0.19),0
bAI[7],0.203279507,0.21614159,-0.21740925,0.6260873,2801.900556,1.000531545,0.2 (0.22),0
bAI[8],-0.778688298,0.413388174,-1.60190425,0.02977627,8258.217405,0.99986014,-0.78 (0.41),0
bAI[9],-0.053422484,0.240323121,-0.52429655,0.414591775,3582.452074,1.000092023,-0.05 (0.24),0
bAI[10],-0.08278502,0.198906384,-0.4757715,0.302799575,2509.283792,1.000493001,-0.08 (0.2),0
bAI[11],0.280980131,0.181511296,-0.076690525,0.6368822,2154.290949,1.000608959,0.28 (0.18),0
bAI[12],0.391673846,0.207406723,-0.01731041,0.800309125,2583.96642,1.000493661,0.39 (0.21),0
bAI[13],-0.063357056,0.233373428,-0.524327325,0.395083175,3236.93929,1.000504061,-0.06 (0.23),0
bAI[14],0.044620426,0.204207523,-0.354750475,0.441912275,2502.324383,1.000292696,0.04 (0.2),0
bAI[15],0.503149048,0.210129921,0.085013278,0.91433145,2706.557222,1.000585796,0.5 (0.21),1
bAI[16],-0.068898338,0.200134171,-0.459497525,0.32240275,2552.371755,1.000395993,-0.07 (0.2),0
bAI[17],0.016436236,0.180786519,-0.334049125,0.368793575,1989.887321,1.000521631,0.02 (0.18),0
bAI[18],-0.442226418,0.225515552,-0.8875192,-0.001267345,3226.485749,1.000599153,-0.44 (0.23),1
bBR[1],-1.004900851,0.361712339,-1.70732175,-0.293290175,5997.988685,1.000224789,-1 (0.36),1
bBR[2],0.025479832,0.178852299,-0.325254125,0.37421735,1921.526768,1.00116467,0.03 (0.18),0
bBR[3],-0.00981267,0.196843714,-0.392524,0.3832416,2160.721335,1.001008344,-0.01 (0.2),0
bBR[4],0.044852811,0.170543942,-0.28477755,0.3795423,1692.576444,1.001175718,0.04 (0.17),0
bBR[5],0.150434838,0.309075345,-0.4543742,0.766055375,4699.539551,1.000179333,0.15 (0.31),0
bBR[6],0.153170687,0.192256369,-0.216350525,0.53012965,2017.217087,1.001107073,0.15 (0.19),0
bBR[7],0.392251129,0.231647438,-0.0483647,0.855861375,2780.075083,1.000797283,0.39 (0.23),0
bBR[8],0.865295934,0.394692056,0.096685255,1.63596425,8683.828442,1.00001214,0.87 (0.39),1
bBR[9],0.197456119,0.241759658,-0.27412255,0.678604675,2909.661229,1.000742837,0.2 (0.24),0
bBR[10],0.097539259,0.201471376,-0.291326725,0.4938665,2248.219536,1.001008109,0.1 (0.2),0
bBR[11],0.120975865,0.180906877,-0.22755825,0.47899795,1856.298413,1.001031907,0.12 (0.18),0
bBR[12],-0.333414221,0.20923867,-0.74273675,0.07342925,2330.205635,1.000875727,-0.33 (0.21),0
bBR[13],0.055563419,0.250253312,-0.43370075,0.5534018,3363.079117,1.000558736,0.06 (0.25),0
bBR[14],0.020854687,0.201217977,-0.3690865,0.41510875,2359.99946,1.001044512,0.02 (0.2),0
bBR[15],-0.364448414,0.208864068,-0.7826785,0.038859905,2463.358716,1.000847526,-0.36 (0.21),0
bBR[16],0.198989133,0.196869216,-0.182628975,0.582699175,2077.065091,1.001321557,0.2 (0.2),0
bBR[17],0.17630354,0.178046726,-0.172907225,0.5289567,1861.802046,1.001098653,0.18 (0.18),0
bBR[18],0.113188356,0.208947025,-0.2971742,0.5209554,2446.650295,1.000923679,0.11 (0.21),0
bH[1],0.59543796,0.311323029,-0.008974992,1.21170375,6241.156863,1.000692371,0.6 (0.31),0
bH[2],-0.227769168,0.195901448,-0.613448425,0.159614825,2885.493466,1.001500647,-0.23 (0.2),0
bH[3],0.479833791,0.207697124,0.07084666,0.8891939,3063.368505,1.001824174,0.48 (0.21),1
bH[4],-0.194214572,0.182541741,-0.553084875,0.16866825,2441.501102,1.001771721,-0.19 (0.18),0
bH[5],-1.056901631,0.393188757,-1.85472275,-0.312218075,9459.7891,1.000385861,-1.06 (0.39),1
bH[6],-0.183546913,0.204787375,-0.586442625,0.220961925,3004.797255,1.001585292,-0.18 (0.2),0
bH[7],-0.710779848,0.247825943,-1.20530075,-0.23214165,4218.919994,1.000628234,-0.71 (0.25),1
bH[8],1.466222717,0.408978738,0.65827385,2.28308925,10629.81222,1.000079855,1.47 (0.41),1
bH[9],0.628642414,0.250042408,0.1379851,1.12423275,4520.31151,1.000983557,0.63 (0.25),1
bH[10],0.141592269,0.212943434,-0.274169875,0.559405075,3256.674397,1.001240548,0.14 (0.21),0
bH[11],-0.284391231,0.19926068,-0.67157725,0.1085703,2859.887253,1.001512711,-0.28 (0.2),0
bH[12],0.056372759,0.218853524,-0.369615125,0.4886222,3506.885173,1.001081972,0.06 (0.22),0
bH[13],-0.519512387,0.270905697,-1.0591205,-0.000615664,4979.933355,1.001166678,-0.52 (0.27),1
bH[14],0.289675332,0.217382346,-0.1368378,0.713456175,3429.610828,1.001258698,0.29 (0.22),0
bH[15],0.176121563,0.219863231,-0.256979475,0.610551725,3424.806343,1.001159169,0.18 (0.22),0
bH[16],-0.630582177,0.223646945,-1.06936325,-0.18997025,3699.340994,1.001565693,-0.63 (0.22),1
bH[17],-0.229126442,0.192787588,-0.605811375,0.14802095,2680.19608,1.001832741,-0.23 (0.19),0
bH[18],-0.639657877,0.242321384,-1.11648075,-0.167008675,4168.473233,1.001032337,-0.64 (0.24),1
sigma_init_id[1],0.209885077,0.160313689,0.008296564,0.5857839,6209.248888,1.000198041,0.21 (0.16),
sigma_init_id[2],0.24455341,0.097263425,0.035685058,0.421270075,2996.537026,1.000740656,0.24 (0.1),
sigma_init_id[3],0.317054066,0.14840856,0.02491718,0.5837142,1975.670546,1.000504113,0.32 (0.15),
sigma_init_id[4],0.181666053,0.085600186,0.017123845,0.34137435,1769.323332,1.001817138,0.18 (0.09),
sigma_init_id[5],0.231913987,0.177250779,0.008653663,0.658156675,5194.118652,1.001046709,0.23 (0.18),
sigma_init_id[6],0.297299276,0.122203566,0.03835907,0.518456125,2332.609553,1.001790737,0.3 (0.12),
sigma_init_id[7],0.270579559,0.158256149,0.01603796,0.591594775,2425.218978,1.002257175,0.27 (0.16),
sigma_init_id[8],0.38885171,0.274427728,0.015417958,0.9973868,5835.212856,1.000129984,0.39 (0.27),
sigma_init_id[9],0.310368403,0.198206082,0.01507331,0.7261782,2870.171146,1.000289583,0.31 (0.2),
sigma_init_id[10],0.20123851,0.125581579,0.009542877,0.4598515,2872.83878,1.000431844,0.2 (0.13),
sigma_init_id[11],0.138660698,0.090543691,0.005803928,0.3317382,3133.124429,1.001142137,0.14 (0.09),
sigma_init_id[12],0.23459152,0.142093452,0.0127014,0.5214121,2511.411718,1.000433368,0.23 (0.14),
sigma_init_id[13],0.271087927,0.167825144,0.013266638,0.61984875,3225.13216,1.001040266,0.27 (0.17),
sigma_init_id[14],0.203569314,0.135696765,0.009148625,0.491646175,3121.156987,1.001517894,0.2 (0.14),
sigma_init_id[15],0.404866963,0.164964776,0.04220542,0.70012665,2319.152986,1.001045824,0.4 (0.16),
sigma_init_id[16],0.325397208,0.12307692,0.054068293,0.5455908,3024.362305,1.000262692,0.33 (0.12),
sigma_init_id[17],0.305436207,0.089831111,0.1022462,0.468037175,2469.793844,1.000412774,0.31 (0.09),
sigma_init_id[18],0.534148434,0.126700972,0.27955005,0.784067,4677.386806,1.000936127,0.53 (0.13),
sigma_recp_id[1],0.353284297,0.245516911,0.014410858,0.902231625,3444.700481,1.001230084,0.35 (0.25),
sigma_recp_id[2],0.135027381,0.086957795,0.005707156,0.315896725,3605.65893,1.000086861,0.14 (0.09),
sigma_recp_id[3],0.233406344,0.125053976,0.01632414,0.475557675,3135.448142,1.002395301,0.23 (0.13),
sigma_recp_id[4],0.242150026,0.065332526,0.09874678,0.3630518,3179.221944,1.000789484,0.24 (0.07),
sigma_recp_id[5],0.192436668,0.149240244,0.006808986,0.557555275,7873.905716,0.999921218,0.19 (0.15),
sigma_recp_id[6],0.184494304,0.106626661,0.009531054,0.3972345,3106.84004,1.000691729,0.18 (0.11),
sigma_recp_id[7],0.516430542,0.163674914,0.11729035,0.802414525,1197.420765,1.001885402,0.52 (0.16),
sigma_recp_id[8],0.26399058,0.205976095,0.00951745,0.764173725,8551.274564,1.000321006,0.26 (0.21),
sigma_recp_id[9],0.198212481,0.148804141,0.00627631,0.552332125,4444.387037,1.000728847,0.2 (0.15),
sigma_recp_id[10],0.249277463,0.141889519,0.014131603,0.534183375,2782.178481,1.000434199,0.25 (0.14),
sigma_recp_id[11],0.129576159,0.084879695,0.005891185,0.311378075,3095.681767,1.001815226,0.13 (0.08),
sigma_recp_id[12],0.424540849,0.128914419,0.13535865,0.65985125,2747.738976,1.000489961,0.42 (0.13),
sigma_recp_id[13],0.593461972,0.162640792,0.248830275,0.8931661,1728.568277,1.001641797,0.59 (0.16),
sigma_recp_id[14],0.120036601,0.092696586,0.00434419,0.342595075,5024.625559,0.999943201,0.12 (0.09),
sigma_recp_id[15],0.240995558,0.14156069,0.012798683,0.526656725,2584.887353,1.000228142,0.24 (0.14),
sigma_recp_id[16],0.204083871,0.125072714,0.007828773,0.4580014,2872.30043,1.00056286,0.2 (0.13),
sigma_recp_id[17],0.288252452,0.088470426,0.084741373,0.447682175,2307.277406,1.000930327,0.29 (0.09),
sigma_recp_id[18],0.271395437,0.150999252,0.015790785,0.566358225,2702.896447,1.00206321,0.27 (0.15),
sigma_init_house[1],0.232042801,0.174211081,0.009568227,0.6520411,5878.869132,1.000403933,0.23 (0.17),
sigma_init_house[2],0.088416527,0.065883246,0.003683689,0.244638575,5930.06045,1.000344492,0.09 (0.07),
sigma_init_house[3],0.239867516,0.132405814,0.015294728,0.5038742,2323.831884,1.000687852,0.24 (0.13),
sigma_init_house[4],0.183958426,0.073772636,0.024601438,0.317224275,2565.190627,1.002150684,0.18 (0.07),
sigma_init_house[5],0.461764928,0.244886311,0.03779246,0.958425425,3576.066887,0.999993686,0.46 (0.24),
sigma_init_house[6],0.178819972,0.105893822,0.009833122,0.39738545,3419.372847,1.000942578,0.18 (0.11),
sigma_init_house[7],0.511298242,0.13996096,0.2287349,0.791098425,3948.631778,1.000899245,0.51 (0.14),
sigma_init_house[8],0.29565403,0.229216372,0.012246128,0.850095075,8023.828848,1.000164182,0.3 (0.23),
sigma_init_house[9],0.224446629,0.154210339,0.009244701,0.564133925,4256.395594,1.000457214,0.22 (0.15),
sigma_init_house[10],0.158606385,0.102752228,0.007753902,0.377666125,4368.749964,0.999957815,0.16 (0.1),
sigma_init_house[11],0.149180875,0.087278658,0.009376455,0.331294975,4004.446954,1.001494386,0.15 (0.09),
sigma_init_house[12],0.247978448,0.129678923,0.016929885,0.5011607,3176.186591,1.002200959,0.25 (0.13),
sigma_init_house[13],0.182422644,0.125462267,0.007626838,0.46916785,5395.855281,1.000151212,0.18 (0.13),
sigma_init_house[14],0.325923792,0.13734809,0.041729665,0.5918345,3115.428907,1.000215532,0.33 (0.14),
sigma_init_house[15],0.140648801,0.100889885,0.006280277,0.369083475,5121.282545,1.00017251,0.14 (0.1),
sigma_init_house[16],0.134643524,0.094818346,0.005671321,0.3481121,4749.274791,1.000395672,0.13 (0.09),
sigma_init_house[17],0.106223715,0.073156962,0.0046425,0.26874305,4623.366822,1.000485534,0.11 (0.07),
sigma_init_house[18],0.179707476,0.129213422,0.00679403,0.4793419,3934.460821,1.000097379,0.18 (0.13),
sigma_recp_house[1],0.284039224,0.203166213,0.010786225,0.75021855,5045.784968,0.999933181,0.28 (0.2),
sigma_recp_house[2],0.114288488,0.076844859,0.005050487,0.282231725,3998.790474,1.000171332,0.11 (0.08),
sigma_recp_house[3],0.099130681,0.075433256,0.00375159,0.273439525,7295.345374,1.000169201,0.1 (0.08),
sigma_recp_house[4],0.11148252,0.066704663,0.005986018,0.248544025,3179.26569,1.001913831,0.11 (0.07),
sigma_recp_house[5],0.194094991,0.151139056,0.007178139,0.5579752,8115.296284,1.000095986,0.19 (0.15),
sigma_recp_house[6],0.140046009,0.092129887,0.006574636,0.34091825,3572.475423,1.001290155,0.14 (0.09),
sigma_recp_house[7],0.274284281,0.175878474,0.012297833,0.64500135,1301.205918,1.00223039,0.27 (0.18),
sigma_recp_house[8],0.258123667,0.201596345,0.009568927,0.74915485,9395.483534,1.000053176,0.26 (0.2),
sigma_recp_house[9],0.413077617,0.188087264,0.045196773,0.77828465,3892.506872,1.000041762,0.41 (0.19),
sigma_recp_house[10],0.124489153,0.08931281,0.005131471,0.3294413,5943.862581,1.000333627,0.12 (0.09),
sigma_recp_house[11],0.130660009,0.085868194,0.006236014,0.3168866,3644.413504,1.000366596,0.13 (0.09),
sigma_recp_house[12],0.149439134,0.108665242,0.006625973,0.4013907,4693.386245,1.001084079,0.15 (0.11),
sigma_recp_house[13],0.205831417,0.1454033,0.008879133,0.53406095,3750.842522,1.00127248,0.21 (0.15),
sigma_recp_house[14],0.30134771,0.135218231,0.030168715,0.563911275,3115.41444,1.000430394,0.3 (0.14),
sigma_recp_house[15],0.14059268,0.099859312,0.005497355,0.368510925,6191.836774,1.000262831,0.14 (0.1),
sigma_recp_house[16],0.126558988,0.087435441,0.005658815,0.3249024,6023.421,1.000160472,0.13 (0.09),
sigma_recp_house[17],0.095956816,0.068975022,0.004076741,0.255537175,5384.416687,0.999886209,0.1 (0.07),
sigma_recp_house[18],0.159694352,0.112424153,0.006544094,0.4143541,4505.548998,1.000273044,0.16 (0.11),
