"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_recp_id[18,31]",-0.00937404855024001,0.987409187030419,-1.95706225,1.95377575,27452.9856408811,0.999910059437552,"-0.009 (0.987)"
"z_recp_id[18,32]",-0.116403320389333,1.00807320550302,-2.093351,1.8530115,26664.5902664294,0.999856776332045,"-0.116 (1.008)"
"z_recp_id[18,33]",0.0737039285226333,0.994403231426125,-1.86209975,2.01431725,31306.9158010912,0.999812288144958,"0.074 (0.994)"
"z_recp_id[18,34]",-0.112197331916533,0.992096049664165,-2.05357175,1.8438905,24224.4185291407,0.9998332556533,"-0.112 (0.992)"
"z_recp_id[18,35]",0.26104464535256,0.982739968394083,-1.672373,2.152644,24102.3768683478,0.999873332081552,"0.261 (0.983)"
"z_recp_id[18,36]",0.28936854530858,0.987413849368836,-1.6767655,2.209565,22978.1156378984,0.99988784875511,"0.289 (0.987)"
"z_recp_id[18,37]",0.106911565642033,0.975525465043208,-1.834011,2.043292,28451.2955055835,0.999958345064528,"0.107 (0.976)"
"z_recp_id[18,38]",-0.01593045255124,0.994121202795039,-1.97684025,1.93923425,27767.0530762721,0.999913263884015,"-0.016 (0.994)"
"z_recp_id[18,39]",-0.095768080698668,1.00209247081008,-2.06774475,1.8419695,29002.1160429842,0.999901519287439,"-0.096 (1.002)"
"z_recp_id[18,40]",-0.0728638451763333,0.986679610332891,-2.0257135,1.8506395,26253.4728057499,0.999870061740718,"-0.073 (0.987)"
"z_recp_id[18,41]",0.227581496486067,0.996575485234417,-1.70265,2.18739025,26657.0453938401,0.999922457986248,"0.228 (0.997)"
"z_recp_id[18,42]",-0.0116275015424667,0.99810748534076,-1.9587115,1.9277395,30568.8011088846,0.999856235235732,"-0.012 (0.998)"
"z_recp_id[18,43]",-0.1153159102637,0.99252442616506,-2.042472,1.836067,25886.0865831658,0.999910780998607,"-0.115 (0.993)"
"z_recp_id[18,44]",0.130669872806367,0.984966621649315,-1.81030225,2.06185225,27510.9596550505,1.00003247918111,"0.131 (0.985)"
"z_recp_id[18,45]",0.07538789605332,0.978631896081024,-1.8446345,1.985078,30427.3651957125,0.999867917210446,"0.075 (0.979)"
"z_recp_id[18,46]",0.350927609793993,0.991229531813505,-1.627492,2.2828065,22732.1185516336,1.00015976974096,"0.351 (0.991)"
