"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_init_id[11,109]",0.294313298709093,0.978793752958359,-1.612496,2.19891375,18466.5180678044,0.999895949029817,"0.294 (0.979)"
"z_init_id[11,110]",0.0088243026138667,0.985623773145592,-1.92215675,1.93530525,23384.7079078513,0.999853549226343,"0.009 (0.986)"
"z_init_id[11,111]",-0.0155102048438867,0.986754635499711,-1.94070075,1.91643325,13903.0194086556,0.999924456355097,"-0.016 (0.987)"
"z_init_id[11,112]",0.177988678369801,1.02051672326609,-1.841941,2.139462,15697.7030292358,0.999968662571779,"0.178 (1.021)"
"z_init_id[11,113]",-0.106201778827713,0.988539605685547,-2.0322575,1.827414,21281.1197444589,0.999915343443525,"-0.106 (0.989)"
"z_init_id[11,114]",-0.10458396133044,0.999616461483048,-2.07288525,1.87536875,24997.4162443176,0.999880467258631,"-0.105 (1)"
"z_init_id[11,115]",-0.0984366913301334,1.00062644882389,-2.09435175,1.85455975,18844.1035432885,0.999882911685148,"-0.098 (1.001)"
"z_init_id[11,116]",-0.0143452689725134,1.00297546563349,-1.957239,1.94788175,23097.6547279881,0.999921346984647,"-0.014 (1.003)"
"z_init_id[11,117]",-0.17376803630378,0.997407109096649,-2.12365325,1.78941225,21582.5986588443,0.999967208869927,"-0.174 (0.997)"
"z_init_id[11,118]",0.02791540828574,0.940874446539727,-1.8239925,1.896412,19478.7508419145,1.00001438328087,"0.028 (0.941)"
"z_init_id[11,119]",-0.111038451646355,0.998562396814927,-2.0838325,1.80991425,18657.7455265218,1.00005575257125,"-0.111 (0.999)"
"z_init_id[11,120]",-0.212602904501707,0.994572716556956,-2.1641245,1.75402175,20407.1924607978,0.999828141102296,"-0.213 (0.995)"
"z_init_id[11,121]",-0.303958186603733,1.00709672438836,-2.271724,1.71538825,14498.7107449313,0.99987641997603,"-0.304 (1.007)"
"z_init_id[11,122]",0.199318020382127,0.966093742716496,-1.689776,2.0808565,16710.4658623222,0.999998344260569,"0.199 (0.966)"
"z_init_id[11,123]",0.0930183118461334,0.974245461484395,-1.816457,2.01778,15402.6857825318,1.00018004961988,"0.093 (0.974)"
"z_init_id[11,124]",0.07494921389984,0.990705751292846,-1.874025,2.04267425,25427.461742236,0.999836729457664,"0.075 (0.991)"
"z_init_id[11,125]",-0.0382259769814133,0.993539338779786,-1.970992,1.945704,21453.4328453258,0.999880163039138,"-0.038 (0.994)"
"z_init_id[11,126]",-0.336275701889093,0.982150295248292,-2.236068,1.58786525,15067.5475756398,1.00002836946773,"-0.336 (0.982)"
"z_init_id[11,127]",-0.188049824955867,0.961947499072243,-2.06811375,1.71616075,16371.3852191468,0.999899846006501,"-0.188 (0.962)"
"z_init_id[11,128]",0.0253090587854667,0.977023249237851,-1.86565375,1.934454,22763.5887560061,0.99983962950762,"0.025 (0.977)"
"z_init_id[11,129]",0.0655936411025867,0.994054702480334,-1.88467075,2.0149055,20101.3764164264,0.999982406719588,"0.066 (0.994)"
"z_init_id[11,130]",0.171919228033967,0.996366111441605,-1.8159705,2.12899775,21639.7074087327,0.999916657394045,"0.172 (0.996)"
"z_init_id[11,131]",-0.175312351295633,0.94394583652068,-2.0235975,1.695517,18581.7771713016,0.999859149320941,"-0.175 (0.944)"
"z_init_id[11,132]",0.0342175432275806,0.997340284885793,-1.94445525,1.97278375,24169.6009822208,0.999912089856516,"0.034 (0.997)"
"z_init_id[11,133]",-0.0456752181943333,1.00706424586043,-2.01953325,1.92597075,25006.6609866754,0.999881730755061,"-0.046 (1.007)"
"z_init_id[11,134]",0.216179157871787,0.999804079388247,-1.71535675,2.167214,19636.2850660982,0.999900568643607,"0.216 (1)"
"z_init_id[11,135]",0.0951613092662534,0.95667002725269,-1.77512775,1.939981,20790.794462018,0.999924347357819,"0.095 (0.957)"
"z_init_id[11,136]",0.10016086995706,1.01249333316852,-1.850149,2.08172425,24896.2350758028,0.99984544915093,"0.1 (1.012)"
"z_init_id[11,137]",-0.157134194949867,0.995113180530087,-2.09143525,1.781694,20785.626674328,0.999926567120296,"-0.157 (0.995)"
"z_init_id[11,138]",0.15444569746256,0.988239259974899,-1.77157475,2.078405,21083.5008143841,0.999926839477233,"0.154 (0.988)"
"z_init_id[11,139]",-0.144378228093515,0.970852447646079,-2.053841,1.7817505,19403.1799589826,0.99984175493178,"-0.144 (0.971)"
"z_init_id[11,140]",-0.0942271272492733,0.975313556327189,-2.01485725,1.82960725,22519.1513985284,0.99984155209783,"-0.094 (0.975)"
"z_init_id[11,141]",0.098087542098154,1.00790065917091,-1.84836,2.0711585,23143.6234732398,0.999978258493871,"0.098 (1.008)"
"z_init_id[11,142]",0.515836163534287,0.999549310214977,-1.47517175,2.45364175,14374.3864036954,0.999922282160644,"0.516 (1)"
"z_init_id[11,143]",0.0836130104564667,0.961489325343055,-1.79651075,1.9817155,17409.8324094541,0.999853849030354,"0.084 (0.961)"
"z_init_id[11,144]",0.14929273526374,0.980334891150308,-1.775616,2.07315025,18442.6318602763,0.999981702482418,"0.149 (0.98)"
